edrpou,name,short_name,opf,stan,registration,terminated_info
33763070,"УПРАВЛІННЯ ОСВІТИ, РЕЛІГІЙ ТА У СПРАВАХ НАЦІОНАЛЬНОСТЕЙ  ВИКОНАВЧОГО КОМІТЕТУ ХУСТСЬКОЇ МІСЬКОЇ РАДИ",,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,12.10.2005; 13.10.2005; 13251020000000200,
33920250,"КОМУНАЛЬНА УСТАНОВА ""НОВОБОРІВСЬКИЙ ПСИХОНЕВРОЛОГІЧНИЙ ІНТЕРНАТ"" ЖИТОМИРСЬКОЇ ОБЛАСНОЇ РАДИ","КУ  ""НОВОБОРІВСЬКИЙ ПСИХОНЕВРОЛОГІЧНИЙ ІНТЕРНАТ""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,23.12.2005; 23.12.2005; 12851020000000226,
34169287,УДОБНЕНСЬКИЙ ЛІЦЕЙ МАЯКІВСЬКОЇ СІЛЬСЬКОЇ РАДИ ОДЕСЬКОГО РАЙОНУ ОДЕСЬКОЇ ОБЛАСТІ,УДОБНЕНСЬКИЙ ЛІЦЕЙ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,15.02.2006; 07.03.2006; 15301020000000270,
34200887,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""РУОЛ СТАНДАРТ""",,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,15.01.2007; 15.01.2007; 14411020000000217,
34325992,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ДАСТОР-УЖГОРОД""","ТОВ ""ДАСТОР-УЖГОРОД""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,10.04.2006; 10.04.2006; 13241020000002153,
34461367,"КОМУНАЛЬНИЙ ЗАКЛАД ДОШКІЛЬНОЇ ОСВІТИ ""КАЛИНОНЬКА"" ДОЛИНСЬКОЇ МІСЬКОЇ РАДИ","КЗДО ""КАЛИНОНЬКА""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,29.06.2006; 29.06.2006; 14241020000000293,
34626184,"Заклад дошкільної освіти №3 ""Веселка"" Жмеринської міської територіальної громади","ЗДО №3 ""Веселка"" ","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,04.10.2006; 04.10.2006; 11751230000000266,
35492401,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ТЕРНОПІЛЬСЬКИЙ ОБЛАСНИЙ КЛІНІЧНИЙ  ПЕРИНАТАЛЬНИЙ ЦЕНТР ""МАТИ І ДИТИНА"" ТЕРНОПІЛЬСЬКОЇ ОБЛАСНОЇ РАДИ",,КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,14.11.2007; 10.06.2019; 16461450000012035,
35623111,НОВОСЕЛІВСЬКИЙ ЗАКЛАД ДОШКІЛЬНОЇ ОСВІТИ (ЯСЛА-ДИТЯЧИЙ САДОК) САРАТСЬКОЇ СЕЛИЩНОЇ РАДИ БІЛГОРОД-ДНІСТРОВСЬКОГО РАЙОНУ ОДЕСЬКОЇ ОБЛАСТІ,НОВОСЕЛІВСЬКИЙ 3ДО (ЯСЛА-ДИТЯЧИЙ САДОК)  ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,10.12.2007; 10.12.2007; 15471020000000444,
35814729,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КОЗЯТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КОЗЯТИНСЬКОЇ МІСЬКОЇ РАДИ","КП "" КОЗЯТИНСЬКА ЦРЛ""",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,24.03.2008; 24.03.2008; 11761020000000286,
36029726,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СГ-ПАТРІОТ""","ТОВ ""СГ-ПАТРІОТ""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,09.07.2008; 09.07.2008; 13211020000000492,
36194975,"ПРИВАТНЕ ПІДПРИЄМСТВО ""ВКФ ""МІГ""","ПП ""ВКФ ""МІГ""",ПРИВАТНЕ ПІДПРИЄМСТВО,зареєстровано,15.12.2008; 15.12.2008; 15851020000006621,
36199863,СЛУЖБА У СПРАВАХ ДІТЕЙ ТА СІМ'Ї ПЕРЕЯСЛАВСЬКОЇ МІСЬКОЇ РАДИ,ССДС ПЕРЕЯСЛАВСЬКОЇ МІСЬКОЇ РАДИ,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,19.09.1995; 19.11.2008; 13581200000000431,
36330737,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АКРІС ЛОГІСТИК""","ТОВ ""АКРІС ЛОГІСТИК""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,09.02.2009; 09.02.2009; 13051020000007137,
36886705,"ПРИВАТНЕ ПІДПРИЄМСТВО ""КОРОЛІВСЬКИЙ СМАК ПЛЮС""","ПП ""КОРОЛІВСЬКИЙ СМАК ПЛЮС""",ПРИВАТНЕ ПІДПРИЄМСТВО,зареєстровано,07.12.2009; 07.12.2009; 11741020000008168,
37000540,"ПОЗАМІСЬКИЙ ДИТЯЧИЙ ЗАКЛАД ОЗДОРОВЛЕННЯ ТА ВІДПОЧИНКУ ""ЧАЙКА"" ХМЕЛЬНИЦЬКОЇ МІСЬКОЇ РАДИ""",,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,27.04.2010; 27.04.2010; 16611020000000387,
37622036,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВВ-ПРОФІТ""","ТОВ ""ВВ- ПРОФІТ""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,11.04.2011; 11.04.2011; 12241020000052137,
37787425,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЧЕРКАСЬКА РЕГІОНАЛЬНА  ПРОДОВОЛЬЧА КОМПАНІЯ""","ТОВ ""ЧРПК""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,21.07.2011; 21.07.2011; 10261020000011419,
37819430,НАЦІОНАЛЬНЕ АГЕНТСТВО УКРАЇНИ З ПИТАНЬ ДЕРЖАВНОЇ СЛУЖБИ,,ОРГАН ДЕРЖАВНОЇ ВЛАДИ,зареєстровано,15.08.2011; 15.08.2011; 10741020000040351,
37984318,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""РОШЕН ДЕ ЛЮКС""","ТОВ ""РОШЕН ДЕ ЛЮКС""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,19.01.2012; 19.01.2012; 15551020000000527,
38011087,"КИЇВСЬКИЙ ОБЛАСНИЙ ЦЕНТР СОЦІАЛЬНО-ПСИХОЛОГІЧНОЇ РЕАБІЛІТАЦІЇ ДІТЕЙ ""СТРІТІВКА""",,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,11.01.2012; 11.01.2012; 13391020000007635,
38425940,"ПРИВАТНЕ ПІДПРИЄМСТВО ""ФЕНІКС-ІНКОМ""","ПП ""ФЕНІКС-ІНКОМ""",ПРИВАТНЕ ПІДПРИЄМСТВО,зареєстровано,24.12.2012; 24.12.2012; 15521020000001887,
38505512,РАДИВИЛІВСЬКИЙ ЛІЦЕЙ №2  ІМ.П.Г.СТРИЖАКА РАДИВИЛІВСЬКОЇ МІСЬКОЇ РАДИ ДУБЕНСЬКОГО РАЙОНУ РІВНЕНСЬКОЇ ОБЛАСТІ,РАДИВИЛІВСЬКИЙ ЛІЦЕЙ №2 ІМ.П.Г.СТРИЖАКА,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,28.05.2013; 28.05.2013; 16011340000000730,
38925300,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КАФАР-УКРАЇНА""","ТОВ ""КАФАР-УКРАЇНА""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,04.10.2013; 04.10.2013; 15221020000023824,
39418096,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОРЖИЦЬКИЙ МОЛОКОЗАВОД""","ТОВ ""ОРЖИЦЬКИЙ МОЛОКОЗАВОД""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,30.09.2014; 30.09.2014; 15751020000000446,
39422516,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ГАРНА СТРАВА""","ТОВ ""ГАРНА СТРАВА""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,02.10.2014; 02.10.2014; 12241020000070401,
39625877,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СПАРТА 2015""","ТОВ ""СПАРТА 2015""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,06.02.2015; 06.02.2015; 14221020000000836,
40093593,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРОДЕНЕРГО""","ТОВ ""ПРОДЕНЕРГО""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,30.10.2015; 30.10.2015; 14801020000067659,
40201464,ЦЕНТР СОЦІАЛЬНИХ ПОСЛУГ ТЕРЕБОВЛЯНСЬКОЇ МІСЬКОЇ РАДИ,ЦСПТМР,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,28.12.2015; 28.12.2015; 16371020000001178,
40333959,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙ - МК..""","ТОВ ""КРАЙ - МК..""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,10.03.2016; 10.03.2016; 12241020000075979,
40375543,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЛАВЕРНА СМАК""","ТОВ ""ЛАВЕРНА СМАК""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,28.03.2016; 28.03.2016; 12291020000003539,
40391916,"КОМУНАЛЬНИЙ ЗАКЛАД ""ЦЕНТР НАДАННЯ СОЦІАЛЬНИХ ПОСЛУГ ПІДВОЛОЧИСЬКОЇ СЕЛИЩНОЇ РАДИ""",ЦЕНТР НАДАННЯ СОЦІАЛЬНИХ ПОСЛУГ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,01.04.2016; 01.04.2016; 16441020000000839,
40412485,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЛУЦЮК-ТРЕЙД""","ТЗОВ ""ЛУЦЮК-ТРЕЙД""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,08.04.2016; 08.04.2016; 11981020000009507,
40422404,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АЛЬЯНС ФУД""","ТОВ ""АЛЬЯНС ФУД""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,13.04.2016; 13.04.2016; 12241020000076441,
40518321,ВІДДІЛ ОСВІТИ СКАЛАТСЬКОЇ МІСЬКОЇ РАДИ,ВІДДІЛ ОСВІТИ СКАЛАТСЬКОЇ МР,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,30.05.2016; 30.05.2016; 16441020000000848,
40620238,"Відділ освіти, сім'ї, молоді та спорту Васильковецької сільської ради",Відділ ОСМС Васильковецької с/р,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,02.07.2016; 02.07.2016; 16481020000001046,
40703130,"КОМУНАЛЬНА УСТАНОВА ""ЦЕНТР ФІНАНСУВАННЯ ТА ГОСПОДАРСЬКОЇ ДІЯЛЬНОСТІ ЗАКЛАДІВ ТА УСТАНОВ СИСТЕМИ ОСВІТИ ПРИМОРСЬКОГО РАЙОНУ М. ОДЕСИ""","КУ ""ЦФГДЗУСО ПРИМОРСЬКОГО РАЙОНУ М. ОДЕСИ""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,01.08.2016; 01.08.2016; 15561020000059423,
40708982,"ВІДДІЛ ОСВІТИ, КУЛЬТУРИ ТА ТУРИЗМУ ВЕЛИКОМИХАЙЛІВСЬКОЇ СЕЛИЩНОЇ РАДИ РОЗДІЛЬНЯНСЬКОГО РАЙОНУ ОДЕСЬКОЇ ОБЛАСТІ",,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,02.08.2016; 02.08.2016; 15331020000000604,
40733720,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АС ТРЕЙД""","ТОВ ""АС ТРЕЙД""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,10.08.2016; 10.08.2016; 10681020000043496,
41066555,"Відділ освіти,культури і туризму,молоді та спорту Шегинівської сільської ради Яворівського району Львівської області",ВОКТМС Шегинівської сільської ради,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,04.01.2017; 04.01.2017; 14021020000001264,
41080689,ВІДДІЛ ОСВІТИ КОЗЛІВСЬКОЇ СЕЛИЩНОЇ РАДИ,,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,13.01.2017; 13.01.2017; 16391020000000798,
41086985,"ВІДДІЛ ОСВІТИ, КУЛЬТУРИ, МОЛОДІ ТА СПОРТУ КОРЮКІВСЬКОЇ МІСЬКОЇ РАДИ",ВОКМТАС КОРЮКІВСЬКОЇ МІСЬКРАДИ,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,18.01.2017; 18.01.2017; 10481020000000639,
41292510,"ВІДДІЛ ОСВІТИ, МОЛОДІ, СПОРТУ, КУЛЬТУРИ, ТУРИЗМУ ТА ПРАВОПОРЯДКУ ВЕСНЯНСЬКОЇ СЕЛИЩНОЇ РАДИ",ВІДДІЛ ОМСКТП ВЕСНЯНСЬКОЇ С/Р,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,21.04.2017; 21.04.2017; 15151020000001182,
41299207,ВІДДІЛ ОСВІТИ БАРСЬКОЇ МІСЬКОЇ РАДИ,ВІДДІЛ ОСВІТИ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,25.04.2017; 25.04.2017; 11471020000000961,
41356652,"ВІДДІЛ ОСВІТИ, КУЛЬТУРИ, МОЛОДІ ТА СПОРТУ ГАЛИЦИНІВСЬКОЇ СІЛЬСЬКОЇ РАДИ",ВІДДІЛ ОКМС,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,26.05.2017; 26.05.2017; 15111020000008699,
41456900,ВІДДІЛ ОСВІТИ КВІТНЕВОЇ СІЛЬСЬКОЇ РАДИ,,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,12.07.2017; 12.07.2017; 12971020000003567,
41513827,"ВІДДІЛ ОСВІТИ, КУЛЬТУРИ, МОЛОДІ ТА  СПОРТУ ТРИБУХІВСЬКОЇ СІЛЬСЬКОЇ РАДИ",ВОКМС ТРИБУХІВСЬКОЇ С/Р,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,09.08.2017; 09.08.2017; 16411020000001111,
41814742,ВІДДІЛ ОСВІТИ ВИКОНАВЧОГО КОМІТЕТУ ЛОХВИЦЬКОЇ МІСЬКОЇ РАДИ,ВІДДІЛ ОСВІТИ,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,18.12.2017; 18.12.2017; 15701020000000803,
41830654,ВИКОНАВЧИЙ КОМІТЕТ СЕНЧАНСЬКОЇ СІЛЬСЬКОЇ РАДИ,ВИКОНКОМ СЕНЧАНСЬКОЇ СІЛЬСЬКОЇ РАДИ,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,26.12.2017; 26.12.2017; 15701020000000805,
42201052,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ІДС АКВА СЕРВІС""","ТОВ ""ІДС АКВА СЕРВІС""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,07.06.2018; 07.06.2018; 14171020000002741,
42260364,"КОМУНАЛЬНА УСТАНОВА ""ЦЕНТР ПО ОБСЛУГОВУВАННЮ ЗАКЛАДІВ ТА УСТАНОВ ОСВІТИ"" РЕНІЙСЬКОЇ МІСЬКОЇ РАДИ","КУ ""ЦОЗУО""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,22.06.2018; 22.06.2018; 15451020000000868,
42268943,"ВІДДІЛ ОСВІТИ, КУЛЬТУРИ, МОЛОДІ ТА СПОРТУ САКСАГАНСЬКОЇ СІЛЬСЬКОЇ РАДИ",,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,27.06.2018; 27.06.2018; 12141020000000895,
42392712,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «МЕДФУД»,ТОВ «МЕДФУД»,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,14.08.2018; 14.08.2018; 11741020000016359,
42439226,ГУМАНІТАРНИЙ ВІДДІЛ ЗАТУРЦІВСЬКОЇ СІЛЬСЬКОЇ РАДИ,,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,05.09.2018; 05.09.2018; 11861020000000584,
42739284,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""НАРОДИЦЬКА ЛІКАРНЯ"" НАРОДИЦЬКОЇ СЕЛИЩНОЇ РАДИ","КНП ""НАРОДИЦЬКА ЛІКАРНЯ"" НАРОДИЦЬКОЇ СЕЛИЩНОЇ РАДИ",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,08.01.2019; 08.01.2019; 12931020000000288,
42789136,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ЛІКАРНЯ №2 ІМ. В.П. ПАВЛУСЕНКА"" ЖИТОМИРСЬКОЇ МІСЬКОЇ РАДИ","КП ""ЛІКАРНЯ №2 ІМ. В.П. ПАВЛУСЕНКА"" ЖМР",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,01.02.2019; 01.02.2019; 13051020000015758,
42985994,"КОМУНАЛЬНИЙ ЗАКЛАД ЗАГАЛЬНОЇ СЕРЕДНЬОЇ ОСВІТИ ""ЛІЦЕЙ №1 С. ПЕТРОПАВЛІВСЬКА БОРЩАГІВКА"" БОРЩАГІВСЬКОЇ СІЛЬСЬКОЇ РАДИ БУЧАНСЬКОГО РАЙОНУ КИЇВСЬКОЇ ОБЛАСТІ",ЛІЦЕЙ №1 с. Петропавлівська Борщагівка,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,07.05.2019; 07.05.2019; 13391020000017704,
43205042,ВІДДІЛ З ГУМАНІТАРНИХ ПИТАНЬ ВИКОНАВЧОГО КОМІТЕТУ УЛАШАНІВСЬКОЇ СІЛЬСЬКОЇ РАДИ,ВІДДІЛ З ГУМАНІТАРНИХ ПИТАНЬ,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,03.09.2019; 03.09.2019; 16751020000001409,
43278702,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МОЛОКІНІ""","ТОВ ""МОЛОКІНІ""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,09.10.2019; 09.10.2019; 15881020000018339,
43308925,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""М'ЯСНИЙ ЦЕНТР""","ТОВ ""М'ЯСНИЙ ЦЕНТР""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,25.10.2019; 25.10.2019; 13051020000016519,
43331273,Військова частина 1560,,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,05.11.2019; 05.11.2019; 15361020000001176,
43370789,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОДЕСЬКИЙ ХЛІБОЗАВОД №4""","ТОВ ""ОДЕСЬКИЙ ХЛІБОЗАВОД №4""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,27.11.2019; 27.11.2019; 15561020000072481,
43440447,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЛЬВІВІМПОРТ""","ТОВ ""ЛЬВІВІМПОРТ""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,09.01.2020; 09.01.2020; 14151020000049346,
43808856,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СТМ-Фарм""","ТОВ ""СТМ-Фарм""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,09.09.2020; 09.09.2020; 1002241360000095413,
43917808,"ВІДДІЛ ОСВІТИ, МОЛОДІЖНОЇ ПОЛІТИКИ ТА СПОРТУ СНЯТИНСЬКОЇ МІСЬКОЇ РАДИ КОЛОМИЙСЬКОГО РАЙОНУ ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСТІ",,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,05.01.2021; 05.01.2021; 1001151020000001291,
43927184,"ВІДДІЛ ОСВІТИ, КУЛЬТУРИ, МОЛОДІ ТА СПОРТУ ТУЗЛІВСЬКОЇ СІЛЬСЬКОЇ РАДИ","ВІДДІЛ ОСВІТИ, КУЛЬТУРИ, МОЛОДІ ТА СПОРТУ",ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,05.01.2021; 05.01.2021; 1005491020000001893,
43930548,"Управління освіти,молоді та спорту Збаразької міської ради",,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,04.01.2021; 04.01.2021; 1006421020000001257,
43965125,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ДОБРОБУТ ПОЛТАВСЬКОЇ ГРОМАДИ ПОЛТАВСЬКОЇ МІСЬКОЇ РАДИ""","КП ""ДОБРОБУТ ПОЛТАВСЬКОЇ ГРОМАДИ ПОЛТАВСЬКОЇ МІСЬКОЇ РАДИ""",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,24.03.2021; 24.03.2021; 1009571020000009627,
43971485,"Відділ освіти, культури, розвитку туризму, молоді та спорту Красненської селищної ради Золочівського району Львівської області",,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,21.12.2020; 21.12.2020; 1003941020000001192,
43983500,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВЕЛЕС РІТЕЙЛ""",ТОВ «ВЕЛЕС РІТЕЙЛ» ,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,15.12.2020; 15.12.2020; 1003251020000002119,
43983521,"УПРАВЛІННЯ ОСВІТИ, МОЛОДІ ТА СПОРТУ МОНАСТИРИЩЕНСЬКОЇ МІСЬКОЇ РАДИ",УОМС МОНАСТИРИЩЕНСЬКОЇ М/Р,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,15.12.2020; 15.12.2020; 1000121020000000886,
44011748,"ВІДДІЛ ОСВІТИ, КУЛЬТУРИ, ТУРИЗМУ, МОЛОДІ ТА СПОРТУ ПІЩАНОБРІДСЬКОЇ СІЛЬСЬКОЇ РАДИ",,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,04.01.2021; 04.01.2021; 1004271020000001763,
44054694,"ВІДДІЛ ОСВІТИ, МОЛОДІ ТА СПОРТУ АРЦИЗЬКОЇ МІСЬКОЇ РАДИ",,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,04.12.2020; 04.12.2020; 1005271020000001190,
44059357,"ВІДДІЛ ОСВІТИ, МОЛОДІ ТА СПОРТУ КОРСУНЬ-ШЕВЧЕНКІВСЬКОЇ МІСЬКОЇ РАДИ","ВІДДІЛ ОСВІТИ,МОЛОДІ,СПОРТУ К-Ш МР",ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,06.01.2021; 06.01.2021; 1000091020000000904,
44070606,"ВІДДІЛ ОСВІТИ, СІМ'Ї, МОЛОДІ, СПОРТУ ТА КУЛЬТУРИ МІЖГІРСЬКОЇ СЕЛИЩНОЇ РАДИ",ВОСМСК Міжгірської селищної ради,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,31.12.2020; 31.12.2020; 1003141020000000843,
44070742,"ВІДДІЛ ОСВІТИ, КУЛЬТУРИ, СІМ'Ї, МОЛОДІ ТА СПОРТУ БОГДАНСЬКОЇ СІЛЬСЬКОЇ РАДИ",,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,30.12.2020; 30.12.2020; 1003171020000001526,
44072142,"ВІДДІЛ ОСВІТИ, СІМ'Ї, МОЛОДІ, СПОРТУ, КУЛЬТУРИ І ТУРИЗМУ ОЛЬГОПІЛЬСЬКОЇ СІЛЬСЬКОЇ РАДИ",,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,12.01.2021; 12.01.2021; 1001711020000000443,
